10:45:10.846 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.904 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.904 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.905 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.905 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.927 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.927 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.927 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.928 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.928 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.928 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.942 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.942 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.942 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.942 [main] WARN  goja.plugins.sqlinxml.SqlKit - In file /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes/sql/test-sql.xml SQL id in XML for test.slqinxml has been loaded
10:45:10.943 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.943 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.943 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
10:45:10.943 [main] INFO  goja.plugins.sqlinxml.SqlKit - Start the SQL configuration file scanning monitoring mechanism! path is /Users/sog/iDo/iMe/GojaFramework/goja/goja-mvt/target/test-classes
